President,Date,Proclamation Name,Link
James Madison,"March 4, 1815",Proclamation 20 - Recommending a Day of Public Thanksgiving for Peace,http://www.presidency.ucsb.edu/ws/index.php?pid=65984
James Madison,"September 1, 1815",Proclamation 21 - Warning Against Unauthorized Military Expedition Against the Dominions of Spain,http://www.presidency.ucsb.edu/ws/index.php?pid=65985
James Madison,"December 12, 1815",Proclamation 22 - Ordering Unauthorized Persons to Remove from the Public Lands,http://www.presidency.ucsb.edu/ws/index.php?pid=65888
James Madison,"May 1, 1816",Proclamation - Announcement of Location of Canadian Volunteer Warrants,http://www.presidency.ucsb.edu/ws/index.php?pid=65889
James Madison,"January 1, 1817",Proclamation - Convening an Extra Session of the United States Senate,http://www.presidency.ucsb.edu/ws/index.php?pid=65900
James Monroe,"April 15, 1817","Proclamation - Notice of Public Land Sales at Wooster Land Office, Ohio",http://www.presidency.ucsb.edu/ws/index.php?pid=66454
James Monroe,"April 23, 1818",Proclamation 23 - Removing Restrictions on Plaster of Paris in Relation to the Province of Nova Scotia,http://www.presidency.ucsb.edu/ws/index.php?pid=66464
James Monroe,"April 28, 1818",Proclamation - Notice of Agreement Between the United States and Great Britain on Lmits of Naval Forces on the Great Lakes,http://www.presidency.ucsb.edu/ws/index.php?pid=66466
James Monroe,"July 4, 1818",Proclamation 24 - Removing Restrictions on Plaster of Paris Imports from the Provience of New Bruswick,http://www.presidency.ucsb.edu/ws/index.php?pid=66467
James Monroe,"July 24, 1818",Proclamation 25 - Suspending Discriminating Duties on Vessels of the Free and Hanseatic City of Bremen,http://www.presidency.ucsb.edu/ws/index.php?pid=66468
James Monroe,"August 1, 1818",Proclamation 25A - Suspending Discriminating Duties on Vessels of the Free and Hanseatic City of Hamburg,http://www.presidency.ucsb.edu/ws/index.php?pid=66469
James Monroe,"May 4, 1820",Proclamation 26 - Suspending Discriminating Duties on Vessels of the Free and Hanseatic city of Lubeck,http://www.presidency.ucsb.edu/ws/index.php?pid=66515
James Monroe,"July 10, 1821",Proclamation 27 - Offering Reward for the Apprehension of the Murderer of William Seaver,http://www.presidency.ucsb.edu/ws/index.php?pid=66271
James Monroe,"August 10, 1821",Proclamation 28 - Admitting Missouri to the Union,http://www.presidency.ucsb.edu/ws/index.php?pid=66272
James Monroe,"August 20, 1821",Proclamation 29 - Suspending Discriminating Duties on Tonnage on Vessels of the Kingdom of Norway,http://www.presidency.ucsb.edu/ws/index.php?pid=66273
James Monroe,"November 22, 1821",Proclamation 30 - Suspending Discriminating Tonnage Duties on Vessels of the Dukedom of Oldenburg,http://www.presidency.ucsb.edu/ws/index.php?pid=66274
James Monroe,"June 24, 1822",Proclamation 31 - Suspending Discriminating Tonnage Duties on French Vessels,http://www.presidency.ucsb.edu/ws/index.php?pid=66324
James Monroe,"August 24, 1822",Proclamation 32 - Declaring the Ports of the United States to be Open to Vessels of Great Britain,http://www.presidency.ucsb.edu/ws/index.php?pid=66325
James Monroe,"January 19, 1825",Proclamation - Convening an Extra Session of the United States Senate,http://www.presidency.ucsb.edu/ws/index.php?pid=66264
John Quincy Adams,"March 17, 1827",Proclamation 33 - Levying Discriminating Duties on British Vessels Trading Between the United States and Certain British Colonies,http://www.presidency.ucsb.edu/ws/index.php?pid=66694
John Quincy Adams,"June 7, 1827",Proclamation 34 - Suspening Disciminating Duties of Tonnage on Vessels of the Subjects of His Holiness the Pope,http://www.presidency.ucsb.edu/ws/index.php?pid=66695
John Quincy Adams,"September 10, 1827","Proclamation 35 - Offering Reward for the Apprehension of Willis Anderson, Murderer of Gerrard Renold",http://www.presidency.ucsb.edu/ws/index.php?pid=66696
John Quincy Adams,"July 1, 1828",Proclamation 36 - Suspending Discriminating Duties of Tonnage and Import on Vessels of the Kingdom of Hanover,http://www.presidency.ucsb.edu/ws/index.php?pid=66573
John Quincy Adams,"January 12, 1829",Proclamation - Convening an Extra Session of the United States Senate,http://www.presidency.ucsb.edu/ws/index.php?pid=66613
Andrew Jackson,"May 11, 1829",Proclamation 37 - Suspending Discriminating Duties of Tonnage and Import on Austrian Vessels,http://www.presidency.ucsb.edu/ws/index.php?pid=67071
Andrew Jackson,"June 3, 1829",Proclamation 38 - Suspending Discriminating Duties of Tonnage and Import on Austrian Vessels,http://www.presidency.ucsb.edu/ws/index.php?pid=67072
Andrew Jackson,"March 6, 1830","Proclamation 39 - Commanding All Persons in Unlawful Possession of Public Lands in Huntsville, Alabama to Remove Therefrom",http://www.presidency.ucsb.edu/ws/index.php?pid=67073
Andrew Jackson,"June 5, 1830",Proclamation - Notice of Public Land Sales in the State of Louisiana,http://www.presidency.ucsb.edu/ws/index.php?pid=67074
Andrew Jackson,"September 18, 1830",Proclamation 40 - Suspending Discriminating Duties of Tonnage and Import on Vessels of the Grand Dukedom of Oldenburg,http://www.presidency.ucsb.edu/ws/index.php?pid=67075
Andrew Jackson,"October 5, 1830",Proclamation 41 - Opening United States Ports to British Vessels From Certain British Possessions,http://www.presidency.ucsb.edu/ws/index.php?pid=67076
Andrew Jackson,"February 10, 1831",Proclamation 42 - Ordering Persons to Remove From Public Lands in Arkansas,http://www.presidency.ucsb.edu/ws/index.php?pid=67077
Andrew Jackson,"December 10, 1832",Proclamation 43 - Regarding the Nullifying Laws of South Carolina,http://www.presidency.ucsb.edu/ws/index.php?pid=67078
Andrew Jackson,"April 28, 1835",Proclamation 43A - Suspending Discriminating Duties on Vessels of the Grand Duchy of Mechlenberg Schwerin,http://www.presidency.ucsb.edu/ws/index.php?pid=67081
Andrew Jackson,"September 1, 1836",Proclamation 43B - Suspending Discriminating Duties on Vessels of the Grand Dukedom of Tuscany,http://www.presidency.ucsb.edu/ws/index.php?pid=67082
Andrew Jackson,"December 20, 1836",Proclamation - Convening an Extra Session of the United States Senate,http://www.presidency.ucsb.edu/ws/index.php?pid=67083
Martin Van Buren,"March 28, 1837",Proclamation 43C - Extinguishing Title for Indian Lands Between the State of Missouri and the Missouri River,http://www.presidency.ucsb.edu/ws/index.php?pid=67313
Martin Van Buren,"May 15, 1837",Proclamation 43D - Convening an Extra Session of the Congress,http://www.presidency.ucsb.edu/ws/index.php?pid=67314
Martin Van Buren,"June 14, 1837",Proclamation 44 - Suspending Tonnage Duty on Greek Vessels,http://www.presidency.ucsb.edu/ws/index.php?pid=67315
Martin Van Buren,"October 11, 1837",Proclamation 45 - Levying Tonnage Duty on Portuguese Vessels,http://www.presidency.ucsb.edu/ws/index.php?pid=67316
Martin Van Buren,"January 5, 1838",Proclamation 45A - Neutrality With Respect to Canadian Affairs,http://www.presidency.ucsb.edu/ws/index.php?pid=67317
Martin Van Buren,"November 21, 1838",Proclamation - Neutrality With Respect to Canadian Affairs,http://www.presidency.ucsb.edu/ws/index.php?pid=67318
Martin Van Buren,"January 6, 1841",Proclamation - Convening an Extra Session of the United States Senate,http://www.presidency.ucsb.edu/ws/index.php?pid=67319
William Henry Harrison,"March 17, 1841",Proclamation 45B - Convening an Extra Session of the Congress,http://www.presidency.ucsb.edu/ws/index.php?pid=67331
John Tyler,"April 13, 1841",Proclamation 46 - Announcing the Death of William Henry Harrison,http://www.presidency.ucsb.edu/ws/index.php?pid=67344
John Tyler,"September 25, 1841",Proclamation 46A - Warning Against Lawless Incursions Into Canada,http://www.presidency.ucsb.edu/ws/index.php?pid=67555
John Tyler,"January 8, 1845",Proclamation - Convening an Extra Session of the United States Senate,http://www.presidency.ucsb.edu/ws/index.php?pid=67556
James K. Polk,"January 17, 1846","Proclamation 46B - Declaring Lewiston, New York a Port of Delivery",http://www.presidency.ucsb.edu/ws/index.php?pid=67878
James K. Polk,"May 13, 1846",Proclamation 47 - Announcement That a State of War Exists With the Republic of Mexico,http://www.presidency.ucsb.edu/ws/index.php?pid=67909
James K. Polk,"September 7, 1846",Proclamation 48 - Announcement of Vote to Retrocede the County of Alexandria to the State of Virginia,http://www.presidency.ucsb.edu/ws/index.php?pid=67943
James K. Polk,"April 20, 1847",Proclamation 48A - Suspension of Trade Restrictions with Saint Pierre and Miquelon,http://www.presidency.ucsb.edu/ws/index.php?pid=67963
James K. Polk,"November 4, 1847",Proclamation 49 - Suspension of Discriminating Duties of Tonnage and Imports on Vessels from Brazil,http://www.presidency.ucsb.edu/ws/index.php?pid=67964
James K. Polk,"July 4, 1848",Proclamation - Announcing a Treay of Peace Between the United States of America and the Mexican Republic Signed at the City of Guadalupe Hidalgo,http://www.presidency.ucsb.edu/ws/index.php?pid=68015
James K. Polk,"January 2, 1849",Proclamation - Convening an Extra Session of the United States Senate,http://www.presidency.ucsb.edu/ws/index.php?pid=68041
James K. Polk,"March 2, 1849","Proclamation 50 - Declaring Whitehall, New York, a Port of Delivery",http://www.presidency.ucsb.edu/ws/index.php?pid=68053
Zachary Taylor,"August 11, 1849",Proclamation 51 - Warning to United States Citizens Against Participating in an Unlawful Invasion of Cuba,http://www.presidency.ucsb.edu/ws/index.php?pid=68061
Zachary Taylor,"January 4, 1850",Proclamation 52 - Revoking the Exequatur of the Spanish Consul at New Orleans,http://www.presidency.ucsb.edu/ws/index.php?pid=68066
Zachary Taylor,"January 10, 1850","Proclamation 53 - Establishment of Nasqually and Portland, Oregon, as Ports of Delivery",http://www.presidency.ucsb.edu/ws/index.php?pid=68067
Millard Fillmore,"November 1, 1850",Proclamation 54 - Suspension of Discriminating Tonnage and Import Duties on Vessels from Chile,http://www.presidency.ucsb.edu/ws/index.php?pid=68136
Millard Fillmore,"December 13, 1850",Proclamation 55 - Establishing the Northern and Western Boundaries of Texas and the Formation of a New Mexico Territorial Government,http://www.presidency.ucsb.edu/ws/index.php?pid=68140
Millard Fillmore,"February 18, 1851","Proclamation 56 - Calling On Citizens to Assist in the Recapture of a Fugitive Slave Arrested in Boston, Massachusetts",http://www.presidency.ucsb.edu/ws/index.php?pid=68154
Millard Fillmore,"April 25, 1851",Proclamation 57 - Warning to United States Citizens Against Participating in an Unlawful Invasion of Cuba,http://www.presidency.ucsb.edu/ws/index.php?pid=68165
Millard Fillmore,"October 22, 1851",Proclamation 58 - Warning to United States Citizens Against Participating in an Unlawful Invasion of Mexico,http://www.presidency.ucsb.edu/ws/index.php?pid=68166
Millard Fillmore,"February 25, 1853",Proclamation 59 - Convening an Extra Session of the United States Senate,http://www.presidency.ucsb.edu/ws/index.php?pid=68274
Franklin Pierce,"January 18, 1854",Proclamation 60 - Warning to United States Citizens Against Participating in an Unlawful Invasion of Mexico,http://www.presidency.ucsb.edu/ws/index.php?pid=67853
Franklin Pierce,"May 31, 1854",Proclamation 61 - Warning to United States Citizens Against Participating in an Unlawful Invasion of Cuba,http://www.presidency.ucsb.edu/ws/index.php?pid=67855
Franklin Pierce,"March 16, 1855",Proclamation 62 - Suspending Duties on Certain Articles Imported from Canada,http://www.presidency.ucsb.edu/ws/index.php?pid=67625
Franklin Pierce,"July 2, 1855",Proclamation 63 - Designation of Certain Ports Unders the Privleges of Act of 1845,http://www.presidency.ucsb.edu/ws/index.php?pid=67626
Franklin Pierce,"December 8, 1855",Proclamation 64 - Warning to United States Citizens Against Participating in an Unlawful Military Operations in Nicaragua,http://www.presidency.ucsb.edu/ws/index.php?pid=67738
Franklin Pierce,"December 12, 1855",Proclamation 65 - Applying Trade Benefits to Province of Newfoundland,http://www.presidency.ucsb.edu/ws/index.php?pid=67739
Franklin Pierce,"February 11, 1856",Proclamation 66 - Law and Order in the Territory of Kansas,http://www.presidency.ucsb.edu/ws/index.php?pid=67740
Franklin Pierce,"May 28, 1856",Proclamation 68 - Revoking the Exequator of the British Consul at New York,http://www.presidency.ucsb.edu/ws/index.php?pid=67741
Franklin Pierce,"May 28, 1856",Proclamation 69 - Revoking the Exequatur of the Bristish Consul at Philadelphia,http://www.presidency.ucsb.edu/ws/index.php?pid=67742
Franklin Pierce,"May 28, 1856",Proclamation 67 - Revoking the Exequatur of the Bristish Consul at Cincinnati,http://www.presidency.ucsb.edu/ws/index.php?pid=67743
Franklin Pierce,"June 2, 1856",Proclamation 70 - Defining the Boundary Between the United States and Mexico,http://www.presidency.ucsb.edu/ws/index.php?pid=67744
Franklin Pierce,"August 18, 1856",Proclamation 71 - Convening an Extra Session of Congress,http://www.presidency.ucsb.edu/ws/index.php?pid=67746
Franklin Pierce,"February 16, 1857",Proclamation 72 - Convening an Extra Session of the United States Senate,http://www.presidency.ucsb.edu/ws/index.php?pid=67567
James Buchanan,"December 24, 1857",Proclamation,http://www.presidency.ucsb.edu/ws/index.php?pid=68284
James Buchanan,"February 25, 1858",Proclamation - Abolishing Discriminating Duties in the Case of the Papal States,http://www.presidency.ucsb.edu/ws/index.php?pid=68302
James Buchanan,"April 6, 1858",Proclamation - Rebellion in the Territory of Utah,http://www.presidency.ucsb.edu/ws/index.php?pid=68308
James Buchanan,"June 14, 1858",Proclamation - Convening a Special Session of the Senate,http://www.presidency.ucsb.edu/ws/index.php?pid=68332
James Buchanan,"October 30, 1858",Proclamation,http://www.presidency.ucsb.edu/ws/index.php?pid=68333
James Buchanan,"February 26, 1859",Proclamation,http://www.presidency.ucsb.edu/ws/index.php?pid=68371
James Buchanan,"June 25, 1860",Proclamation,http://www.presidency.ucsb.edu/ws/index.php?pid=68445
James Buchanan,"February 11, 1861",Proclamation,http://www.presidency.ucsb.edu/ws/index.php?pid=68458
Abraham Lincoln,"April 15, 1861",Proclamation 80 - Calling Forth the Militia and Convening an Extra Session of Congress,http://www.presidency.ucsb.edu/ws/index.php?pid=70077
Abraham Lincoln,"April 19, 1861",Proclamation 81 - Declaring a Blockade of Ports in Rebellious States,http://www.presidency.ucsb.edu/ws/index.php?pid=70101
Abraham Lincoln,"April 27, 1861",Proclamation 82 - Extension of Blockade to Ports of Additional States,http://www.presidency.ucsb.edu/ws/index.php?pid=70112
Abraham Lincoln,"May 3, 1861",Proclamation 83 - Increasing the Size of the Army and Navy,http://www.presidency.ucsb.edu/ws/index.php?pid=70123
Abraham Lincoln,"May 10, 1861","Proclamation 84 - Declaring Martial Law, and Suspending the Writ of Habeas Corpus in the Islands of Key West",http://www.presidency.ucsb.edu/ws/index.php?pid=70134
Abraham Lincoln,"August 12, 1861","Proclamation 85 - Proclaiming a Day of National Humiliation, Prayer, and Fasting",http://www.presidency.ucsb.edu/ws/index.php?pid=69979
Abraham Lincoln,"August 16, 1861",Proclamation 86 - Prohibiting Commercial Trade with States in Rebellion,http://www.presidency.ucsb.edu/ws/index.php?pid=69990
Abraham Lincoln,"February 19, 1862",Proclamation 87 - Celebration of George Washington's Birthday,http://www.presidency.ucsb.edu/ws/index.php?pid=69775
Abraham Lincoln,"April 10, 1862",Proclamation 88 - Day of Public Thanksgiving for Victories During the Civil War,http://www.presidency.ucsb.edu/ws/index.php?pid=69776
Abraham Lincoln,"May 12, 1862","Proclamation 89 - Termination of Blockade of Beaufort, North Carolina, Port Royal, South Carolina, and New Orleans, Louisiana",http://www.presidency.ucsb.edu/ws/index.php?pid=69777
Abraham Lincoln,"May 19, 1862",Proclamation 90 - Revoking Major General David Hunter's Order of Military Emancipation,http://www.presidency.ucsb.edu/ws/index.php?pid=69778
Abraham Lincoln,"July 1, 1862",Proclamation 91 - Concerning the Collection of Taxes in Rebellious States,http://www.presidency.ucsb.edu/ws/index.php?pid=69779
Abraham Lincoln,"July 25, 1862",Proclamation 92 - Warning to Rebel Sympathizers,http://www.presidency.ucsb.edu/ws/index.php?pid=69781
Abraham Lincoln,"September 22, 1862","Proclamation 93 - Declaring the Objectives of the War Including Emancipation of Slaves in Rebellious States on January 1, 1863",http://www.presidency.ucsb.edu/ws/index.php?pid=69782
Abraham Lincoln,"September 24, 1862",Proclamation 94 - Suspending the Writ of Habeas Corpus,http://www.presidency.ucsb.edu/ws/index.php?pid=69783
Abraham Lincoln,"January 1, 1863",Proclamation 95 - Regarding the Status of Slaves in States Engaged in Rebellion Against the United States [Emancipation Proclamation],http://www.presidency.ucsb.edu/ws/index.php?pid=69880
Abraham Lincoln,"February 28, 1863",Proclamation 96 - Convening the Senate,http://www.presidency.ucsb.edu/ws/index.php?pid=69885
Abraham Lincoln,"March 10, 1863",Proclamation - Recalling Soldiers to Their Regiments,http://www.presidency.ucsb.edu/ws/index.php?pid=69889
Abraham Lincoln,"March 30, 1863","Proclamation 97 - Appointing a Day of National Humiliation, Fasting, and Prayer",http://www.presidency.ucsb.edu/ws/index.php?pid=69891
Abraham Lincoln,"April 2, 1863",Proclamation 98 - Suspension of Commercial Trade with Certain States in Rebellion,http://www.presidency.ucsb.edu/ws/index.php?pid=69892
